MMV name	SMILES	"Pbluc (Single Point Inhibition, %)"	"HepG2tox (Single Point Inhibition, %)"	IC50 PbLuc  2nd Round Average (CDD Vault)	IC90 PbLuc  2nd Round Average (CDD Vault)	 Hill slope PbLuc 2nd Round (CDD Vault)	R squared PbLuc 2nd Round (CDD Vault)	CC50 HepG2tox 2nd Round average (CDD Vault)	CC90 HepG2tox 2nd Round average (CDD Vault)	 Hill slope HepG2tox 2nd Round (CDD Vault)	R squared HepG2tox 2nd Round (CDD Vault)	IC50 FfLuc 2nd round (CDD Vault)	IC90 FfLuc 2nd round (CDD Vault)	 Hill slope FfLuc 2nd Round (CDD Vault)	R squared FfLuc 2nd Round (CDD Vault)
 MMV1320269	CCCN1C(=O)N(C)C(=O)C2=C(SCC3=CC=CC(=C3)[N+]([O-])=O)N=C(CC(C)C)N=C12	83.7		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320318	CN1N=NN=C1SC1=C2C=CN=CC2=C(C=C1)[N+]([O-])=O	88.4		2.88	3.42	12.7	0.328	6.74	> 10.0	3.78	0.957	> 10.0	> 10.0		
 MMV1320378	COC1=CC2=C(C=C1OC)C(=O)N(CCC1=CCCCC1)C(SCC1=C(C)ON=C1C)=N2	86.0		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320400	CCC1=CC=CC(CC)=C1NC(=S)NC(C)C1=CC=CC=C1	88.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320449	O=C(CN1CCN(C\C=C\C2=CC=CC=C2)CC1)NC(C1=CC=CC=C1)C1=CC=CC=C1	88.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320453	COC1=CC(OC)=C(NC(=O)C2=C(OCC(=O)NCC3=CC=CO3)C=C3C=CC=CC3=C2)C=C1Cl	86.0		9.17	> 10.0	22.1	0.617	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320555	CC1CS\C(=N/C2=CC=C(C)C=C2C)N1C(=O)C1=CC=CC=C1SCC(=O)NCC1CCCCC1	86.0		8.13	> 10.0	4.29	0.235	> 10.0	> 10.0	2.13	0.879	9.82	> 10.0	15	0.0481
 MMV1320560	CCC(=O)C1=CC(Br)=CC=C1OC(=O)CC1=COC2=CC(C)=C(C)C=C12	88.4		5.48	8.33	5.23	0.568	> 10.0	> 10.0	5.81	0.234	> 10.0	> 10.0	11.7	0.164
 MMV1320612	CC1=C2N=C(NC(=O)C3=CC=CC(=C3)S(=O)(=O)N3CCC4=CC=CC=C34)SC2=CC=C1	86.0		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320675	COC1=CC(=CC(OC)=C1)C(=O)N(CC1=CC=CC=C1)C1=NC(=CS1)C1=CC=C(Cl)C=C1Cl	88.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320683	CCN(CC(=O)NC1=CC=CC=C1C1=CC=CC=C1)CC1=NC(=O)C2=CC=CC=C2N1	86.0		1.72	7.89	1.44	0.751	5.17	> 10.0	1.8	0.962	9.84	> 10.0	18	0.273
 MMV1320689	CC(C)C1=C(C)C=C2OC=C(CC(=O)N(C3=NC4=CC=CC=C4S3)C3=CC=C(F)C=C3)C2=C1	86.0		> 10.0	> 10.0			> 10.0	> 10.0			9.33	> 10.0	13	0.172
 MMV1320694	CC1=CC(C(=O)COC(=O)C2=CC=CNC2=O)=C(C)N1C1=CC=C(C)C(C)=C1	86.0		1.29	6.62	1.34	0.562	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320740	CN1C(C)=CC(C(=O)CN(CC2=CC=CO2)S(=O)(=O)\C=C\C2=CC=CC=C2)=C1C	95.3		8.84	> 10.0	9.57	0.198	9.93	> 10.0	3.54	0.932	> 10.0	> 10.0		
 MMV1320888	[O-][N+](=O)C1=CC=C(NC(=O)C(NC2=CC=C3OCCOC3=C2)C2=CC=CC=C2)C(Br)=C1	83.9		2.53	> 10.0	1.35	0.497	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1320915	FC1=CC=CC=C1S(=O)(=O)N1CC2=CC=CC=C2CC1C(=O)NC1=NN=C(SCC=C)S1	87.1		7.22	> 10.0	5.35	0.362	> 10.0	> 10.0			> 10.0	> 10.0	1.45	0.33
 MMV1321012	S=C(NC1=CC=C(OC2=CC=CC=C2)C=C1)NC1=C2C=CN=CC2=CC=C1	90.4		4.86	> 10.0	1.05	0.612	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321014	CSC1=CC=CC=C1NC(=O)CN(C)C1=C2C3=C(CCC3)SC2=NC(CSC2=CC=CC=C2)=N1	90.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321068	O=C(N\N=C(/CC1=NC=CN1)C1=CC=CC=C1)C1=CC=CS1	87.1		2.44	4.17	4.09	0.691	8.46	> 10.0	1.23	0.975	> 10.0	> 10.0		
 MMV1321082	O=C(CSC1=NN(CC2=CC=CC=C2)\C(S1)=N/CC1=CC=CC=C1)NC(=O)NC1CCCCC1	90.4		> 10.0	> 10.0			> 10.0	> 10.0			9.61	> 10.0	7.96	0.22
 MMV1321110	CCOC(=O)C1=C(C)NC(\C=C2/C(C)=NN(C2=O)C2=CC=CC=C2)=C1CC1=CC=CC(Cl)=C1	83.9		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321114	OC1=CC=C(C=C1)C(=O)OCC1=CC=C(C=C1)C#N	83.9		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321121	CCCCC1(NC(=O)N(CC(=O)NC2=CC(Cl)=C(C=C2)C#N)C1=O)C1=CC=CC=C1	87.1		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321131	COC1=CC=C(\C=C(\C(=O)NC2=CC=C(Cl)C=C2)C2=NC3=CC=CC=C3S2)C=C1O	90.4		3.45	4.29	10.1	0.615	> 10.0	> 10.0	8.13	0.744	> 10.0	> 10.0		
 MMV1321152	CCOC(=O)C1=C(CSC2=NN=C(O2)C2=CC=C(OC)C(OC)=C2)C(C#N)=C(N)S1	93.8		4.06	9.92	"3.67, 1.56"	"0.0908, 0.540"	9.21	> 10.0	"2.07, 4.99"	"0.833, 0.121"	> 10.0	> 10.0		
 MMV1321175	CCC1=CC2=C(S1)N=C(SCC(=O)N(C)C1CCS(=O)(=O)C1)N(CC1=CC=CO1)C2=O	85.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321261	ClC1=CC=C(C=C1)C1=NC(=C(N1CCC1=CC=C(Cl)C=C1Cl)C1=CC=CC=C1)C1=CC=CC=C1	85.4		9.63	> 10.0	13	0.179	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321387	[O-][N+](=O)C1=C2C=NC=CC2=C(OC2=CC=C(F)C=C2Br)C=C1	85.4		5.65	9.13	4.57	0.39	> 10.0	> 10.0	"8.14, 7.27"	"0.719, 0.841"	> 10.0	> 10.0		
 MMV1321397	COC1=CC2=C(OC3=C2C=CC=C3)C=C1NC(=O)C(C)NCC(N(C)C)C1=CC=CC=C1	83.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321426	CCOC1=CC=CC=C1C(=O)N[C@@H](C(C)C)C(=O)NC1=C(C(N)=O)C2=C(CCC2)S1	85.4		8.77	9.93	17.7	0.214	> 10.0	> 10.0	7.99	0.813	> 10.0	> 10.0		
 MMV1321431	OC1=CN(N=C1C(=O)N1C=C(C=N1)C(=O)C1=CC=CC=C1O)C1=CC=C(Cl)C=C1	91.7		3.145	3.83	"9.04, 15.6"	"0.0255, 0.659"	3.44	> 10.0	"0.890, 1.11"	"0.813, 0.357"	> 10.0	> 10.0		
 MMV1321435	CC(=O)NC1=CC=C(C=C1)C(=S)NCCCN1CCCC1=O	83.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321471	CC1=CC=C(C=C1C)N1C(SC2=C3C=CN=CC3=C(C=C2)[N+]([O-])=O)=NN=C1C1=CC=CC=C1	83.4		> 10.0	> 10.0	1.34	0.0191	> 10.0	> 10.0	0.296	0.243	> 10.0	> 10.0		
 MMV1321479	OC(=O)CC1=C(N=C2C=CC(=CC2=C1C1=CC=CC=C1)[N+]([O-])=O)C1=CC=C2OCCOC2=C1	91.7		3.34	8.54	"1.12, 2.95"	"0.872, 0.627"	> 10.0	> 10.0	0.567	0.724	> 10.0	> 10.0		
 MMV1321488	OC1=CC=C(C=C1)C1=CC(=C(C#N)C#N)C2=C(O1)C=CC=C2	89.6		> 10.0	> 10.0			> 10.0	> 10.0			5.57	> 10.0	1.23	0.408
 MMV1321571	CC1=CC=C(C)C=C1.COC(=O)C1=C2N(C)C3=CC=CC=C3N2C(NC2=CC=C(C)C=C2)=NC1C(F)(F)F	91.7		7.42	> 10.0	4.61	0.0573	> 10.0	> 10.0	5.36	0.5	4.99	> 10.0	2.2	0.697
 MMV1321627	CCO\C=N\NC1=C2C=NN(C2=NC(=N1)C(F)(F)F)C1=CC=CC=C1	85.4		4.62	> 10.0	1.59	0.442	> 10.0	> 10.0			9.65	> 10.0	12.8	0.468
 MMV1321679	OC1=CC2=C(C=C1)C(COC(=O)CCN1C(=O)C3=CC=CC=C3C1=O)=CC(=O)O2	83.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321716	CCCN1C(=O)NC(=O)C(C(=O)CSC2=NC3=C(C(C)=C(C)S3)C(=O)N2C2=CC=CC=C2)=C1N	83.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321733	ClC1=C(Cl)C(=O)N(CC(=O)NCC23CC4CC(CC(C4)C2)C3)N=C1	85.4		> 10.0	> 10.0			> 10.0	> 10.0			5.72	5.89	71.8	0.575
 MMV1321772	CC1CCC2=C(C1)C(C(=O)OCCOC1=CC=CC=C1Cl)=C1C=CC=CC1=N2	85.4		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1321782	CN(C1CCCCC1)S(=O)(=O)C1=CC=CC(=C1)C(=O)NC1=CC=C(OC2=CC=CC(C)=C2)C=C1	85.4		5.04	9.44	3.5	0.0916	6.35	> 10.0	1.26	0.904	3.44	3.79	23.3	0.81
 MMV1321800	FC(F)(F)C1=C(C=CC=C1)C(=O)NCC1=CN(N=C1C1=CC=C(Cl)S1)C1=CC=CC=C1	83.4		2.44	> 10.0	1.32	0.654	8.68	> 10.0	3.63	0.948	> 10.0	> 10.0		
 MMV1321934	CC(=O)NC1=CC=C2C(CN3N=CC(Cl)=C(Cl)C3=O)=CC(=O)OC2=C1	87.5		5.445	9.76	"14.3, 0.748"	"0.481, 0.667"	7.85	> 10.0	3.1	0.966	> 10.0	> 10.0		
 MMV1321984	[O-][N+]1=CC=CC=C1SCC(=O)N1N=C2C(CCC\C2=C/C2=CC=CC=C2)C1C1=CC=CC=C1	83.4		2.66	6.165	"13.0, 1.48"	"0.151, 0.616"	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1322022	CC1=C(SC2=C1C(=O)N1CCCC1=N2)C(=O)OCC(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1	83.4		3.045	3.425	"23.1, 15.6"	"0.439, 0.728"	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1322197	CN(CC(=O)NC1=CC=CC(C)=C1C)C(=O)\C=C\C1=CC=CC=C1	91.7		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1322264	ClC1=CC=C(NC(=O)OCCNC(=O)C2=CC=CC(=C2)S(=O)(=O)N2CCCC2)C=C1Cl	89.6		5.1	9.3	3.66	0.453	> 10.0	> 10.0	9.3	0.805	> 10.0	> 10.0		
 MMV1322279	CC1=CC(C)=C(C(=O)OCCC(NS(=O)(=O)C2=CC=C(Cl)C=C2)C2=CC=CC=C2)C(C)=C1	85.4		> 10.0	> 10.0			> 10.0	> 10.0			8.04	9.97	10.2	0.495
 MMV1322306	COC1=CC(=CC(OC)=C1OC)C1=C(SC2=CC=C(C=C2)[N+]([O-])=O)C(=O)N2C(NC3=CC=CC=C23)=C1	83.4		1.78	9.18	1.34	0.513	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1322368	COC1=CC2=C(C=C1)C(CN1N=CC(Cl)=C(Cl)C1=O)=CC(=O)O2	87.5		4.21	7.19	4.1	0.526	9.56	> 10.0	12.2	0.869	5.7	5.82	102	0.688
 MMV1322407	CC1=CC(C)=C(C2=CSC(NC(=O)C3=CC(=NN3C3=CC=CC=C3)C3=CC=CC=C3)=N2)C(C)=C1	87.5		> 10.0	> 10.0			> 10.0	> 10.0			3.15	3.63	15.4	0.775
 MMV1322515	CC1=C(C(=O)C2=CC=C(OCC(=O)N3CCC4=CC=CC=C34)C=C2O1)C1=C(F)C=CC=C1Cl	91.7		> 10.0	> 10.0			> 10.0	> 10.0			9.38	> 10.0	15.3	0.621
 MMV1322529	CCN1C(=O)C2=C(SC(C)=C2CC)N=C1SCC(=O)C1=C(C)N(C(C)=C1)C1=CC=C2OCOC2=C1	84.0	25	3.47	> 10.0	1.91	0.412	6.32	> 10.0	1.63	0.963	> 10.0	> 10.0		
 MMV1322875	COC1=CC=CC=C1N(CC1=CC2=CC=C(C)C=C2NC1=O)S(=O)(=O)C1=CC=CC=C1	91.2	40	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1322879	CCCC\N=C1/SCC(=NN1C)C1=CNC2=CC=CC=C12	83.9	23	> 10.0	> 10.0			> 10.0	> 10.0	0.211	0.832	> 10.0	> 10.0		
 MMV1322880	CCOC(=O)\C=C1/S\C(=C/C2=CC=C(Cl)C=C2)C(=O)N1CC(=O)C1=CC=C(Cl)C=C1	91.2	40	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1322930	CCC1=C(C)C2=C(S1)N=C(SCC1=CC(=O)N3C=C(Br)C=CC3=N1)N(C2=O)C1=CC=CC(OC)=C1	85.3	-8	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1322961	COC1=CC2=C(C=C1OC)C1(NCC2)C(=O)NC2=CC=CC=C12	88.3	-19	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1322976	CCCN1C(CCC(=O)OCC(=O)C2=CC=C(NC(=O)CC(C)C)C=C2)=NC2=CC(=CC=C12)S(=O)(=O)N1CCCC1	86.8	-25	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1323014	O=C(N\N=C(/CC1=NC=CN1)C1=CC=CC=C1)C1=CC=NC=C1	83.9	46	3.31	3.77	17.1	0.54	9.16	> 10.0	3.38	0.998	> 10.0	> 10.0		
 MMV1323058	COC1=CC(=CC(OC)=C1OC)C(=O)N\N=C(/CC1=NC=CN1)C1=CC=CC=C1	88.3	25	5.09	> 10.0	2.96	0.327	9.94	> 10.0	"12.3, 3.85"	"0.0839, 0.975"	> 10.0	> 10.0		
 MMV1323274	CC(C)N(CC(=O)NC1=CC=C(Cl)C=C1C(F)(F)F)C(=O)CNC(C1=CC=CC=C1)C1=CC=CC=C1	91.2	4	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1323310	NN1C(CC2=CC=CC=C2F)=NN=C1SCC(=O)NCC1=CC=C2OCOC2=C1	88.3	-8	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1323349	CCCN(C(=O)C1=CC=CC=C1CCC1=CC=CC=C1)C1=NC(=CS1)C1=CC=C(Cl)C=C1Cl	86.8	11	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1323527	CC1=NN=C(SCC(=O)NC2=CC=C(Cl)C=N2)N(N)C1=O	83.9	-21	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1323745	CC1=NN(C2=C1C=C(S2)C(=O)NNC1=C2C(SC=C2C2=CC=CC=C2)=NC(CN2CCOCC2)=N1)C1=CC=CC=C1	89.7	41	8.46	> 10.0	12	0.591	> 10.0	> 10.0	"1.59, 8.29"	"0.901, 0.855"	> 10.0	> 10.0		
 MMV1323836	COC1=CC=C(C=C1)N1CCN(CC1)C1=NC(NC2=CC(C)=NN2C2=CC=CC=C2)=C(Cl)C=C1Cl	85.3	-28	9.89	> 10.0	15.1	0.229	> 10.0	> 10.0	"10.1, 8.63"	"0.279, 0.753"	> 10.0	> 10.0		
 MMV1324288	CC(C)C1=CC=C(\C=C\C(=O)NN=C2N=CNC3=CC=CC=C23)C=C1	83.7	33	8.64	> 10.0	8.02	0.305	> 10.0	> 10.0	2.75	0.845	> 10.0	> 10.0		
 MMV1324540	COC1=CC=CC(=C1)N(C(=O)C1=CC=C2OCOC2=C1)C1=NC(=CS1)C1=CC=C(Cl)C=C1Cl	85.5	8	8.64	> 10.0	14.1	0.181	> 10.0	> 10.0			8.34	> 10.0	8.73	0.44
 MMV1324592	O=C(COC(=O)C1=CC=C2SCC(=O)NC2=C1)N(CCC#N)C1=CC=C2OCCOC2=C1	89.1	-10	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1324742	CCC1=CC=C(C=C1)C(CNC(=O)C1=CC=C2C(=O)N(C(=S)NC2=C1)C1=CC=CC=C1F)N(C)C	84.6	-3	9.21	> 10.0	11.1	0.257	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1324786	[O-][N+](=O)C1=CC=C(C=C1)C1=C(C=C2NC3=CC=CC=C3N2C1=O)C1=CC=C(Cl)C=C1	83.7	37	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1324916	OC1=CC=CC=C1C(=O)C1=CN=C(NC(=N)NC2=CC(Cl)=CC(Cl)=C2)N=C1	83.7	15	5.29	> 10.0	2.46	0.348	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1324936	CN1C=CN=C1C(=O)C1=C2C=CC=CC2=NC(SCC(=O)N2CCN(CC2)S(=O)(=O)C2=CC=C3C=CC=CC3=C2)=C1	91.9	1	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1325019	CC(C)CN1C(N)=C(C(=O)COC(=O)CN2C3=CC=CC=C3N=C2C(F)(F)F)C(=O)N(C)C1=O	89.1	0	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1325364	CCOC(=O)C1=C(C)C(C(=O)OCC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC2=NCCCCC2)=C(C)N1	85.5	-3	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1325382	CC1=CC=C(C=C1C)N1C(SCC2=C(N=C3SC=CN23)C2=CC=CC=C2)=NN=C1C1=CC=CC=C1	83.7	-3	3.31	3.83	14.9	0.408	> 10.0	> 10.0			4.92	> 10.0	2.28	0.669
 MMV1325387	COCCCN1C(C)=CC(C(=O)CSC2=NC3=C(C(=CS3)C3=CC=CC=C3)C(=O)N2C)=C1C	83.7	5	6.41	> 10.0	2.63	0.68	> 10.0	> 10.0			> 10.0	> 10.0	7.71	0.356
 MMV1325579	CC1=C(C)C2=C(N=C(N=C2S1)C1=CC=CS1)N1CCN(CC1)C(=O)C1=CC=CC=C1	83.7	31	4.85	> 10.0	1.78	0.529	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1325653	CCCCOCCCNC(=O)C1=C(OC)C=C2C=CC=CC2=C1	87.2	-20	6.56	> 10.0	2.53	0.451	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1325966	CCOC(=O)C1=C(C)NC(C(=O)COC(=O)CN2NC(=O)C3=CC=CC=C3C2=O)=C1C	87.2	36	> 10.0	> 10.0			9.5	> 10.0	"2.60, 1.21"	"0.645, 0.988"	> 10.0	> 10.0		
 MMV1326006	CC1=C(C)C2=C(SC3=CC=CC=C3C(=O)NNC3=C(Cl)C=C(Cl)C=C3Cl)N=CN=C2S1	85.6	7	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1326100	CN(CCOC1=CC=C(Br)C=C1)C(=O)C1=C2C=CC=CC2=NN1	88.8	-18	6.76	> 10.0	4.37	0.302	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1326170	FC(F)(F)C1=CC=CC(=C1)N(CC1=CC=CC=C1)S(=O)(=O)C1=CC(=CC=C1Cl)C(=O)NCCC1=CC=CC=N1	84.0	3	1.73	3.59	3	0.619	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV132638	CC(C)(C)C1=CC=C(OCC(=O)N2CCC(CC2)C(N)=O)C=C1	87.5		> 10.4	> 10.4			> 10.4	> 10.4			> 10.4	> 10.4		
 MMV1326795	CC1=CC(C(=O)CN2C(=O)NC3(CCCC4=C3C=CS4)C2=O)=C(C)N1CC1=CC=C2OCOC2=C1	85.6	-23	8.17	> 10.0	2.26	0.443	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1326827	CC1CCCC(NC(=S)NC2=CC(C)=CC(C)=C2)C1C	85.6	0	5.32	9.4	3.85	0.565	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1326830	CN(C1=CC=CC=C1)C1=CC=C(\C=N\NC(=O)C2=CC=C3C(=O)N4CCCCCC4=NC3=C2)C=C1	85.6	35	6.28	> 10.0	3.8	0.483	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1326893	NC1=C(C=C(C#N)C(=S)N1)C1=NC(=CS1)C1=CC=CC=C1	84.0	38	6.32	> 10.0	3	0.293	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1327061	CCOC(=O)C1=C(C)NC(\C(C)=N\NC2=NC3=CC=CC=C3N2)=C1C	86.0	-6	8.41	> 10.0	4.56	0.397	> 10.0	> 10.0	6.05	0.279	> 10.0	> 10.0		
 MMV1327106	[O-][N+](=O)C1=CC=C(C=C1)C1=C(C(=NN1)C1=CC=CC=C1)C1=CC=C2C=CC=CC2=N1	89.5	-7	4.75	9.84	3.02	0.452	> 10.0	> 10.0	6.28	0.62	> 10.0	> 10.0	2.78	0.0561
 MMV1327234	FC(F)(F)C1=CC(=CC=C1Cl)S(=O)(=O)N1CCN(CC1)C(=O)\C=C\C1=CC=CS1	84.3	-17	5.47	> 10.0	2.7	0.367	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1327247	CN1N(C(=O)C(NC(=O)C2=CC=CC(NC3=C4C=CC=CC4=NC(=N3)C3=CC=CS3)=C2)=C1C)C1=CC=CC=C1	86.0	-14	9.1	> 10.0	10.2	0.195	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1327347	CCN(C(C)C)C1=CC=C(NC(=S)NC2=C3C=CC=CC3=CC=C2)C=C1	89.5	3	5.97	> 10.0	3.28	0.342	> 10.0	> 10.0	1.56	0.289	> 10.0	> 10.0		
 MMV1327736	O=C(CN1CC(=O)NC2=CC=CC=C12)N1N=C(CC1C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1	86.0	2	9.53	> 10.0	15.5	0.336	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1327875	C1CSC(NC2=CC=C(C=C2)C2=CC(C3=CC=CC=C3)=C3C=CC=CC3=N2)=NC1	90.0	-11	8.76	9.46	28.5	0.262	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1328215	FC(F)(F)C1=CC=CC=C1S(=O)(=O)N1CCN(CC1)C(=O)\C=C\C1=CC=CC=C1	88.0	-11	5.445	6.57	"7.50, 16.5"	"0.237, 0.462"	> 10.0	> 10.0	0.114	0.819	> 10.0	> 10.0		
 MMV1328781	CC1=NN(C(Cl)=C1\C=N\OCC(=O)NC1=CC=CC(=C1)C(F)(F)F)C1=CC=CC=C1	83.1	12	5.6	9.91	"4.91, 2.77"	"0.190, 0.335"	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1330027	COC1=CC=C(OC)C(CN2CCN(CC2)C2=C3C(C)=C(C)SC3=NC(=N2)C2=CC=CN=C2)=C1	95.1	44	4.29	6.84	4.71	0.569	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1332332	OC(C1=NN=C(O1)C1=CC=CC=C1)C1=C(C=C2OCOC2=C1)[N+]([O-])=O	84.6	-19	1.688	8.01	"1.65, 1.08"	"0.230, 0.965"	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1332965	OC1=CC=CC=C1C(=O)N\N=C\C1=CC=C(S1)N1CCCCC1	92.0		3.37	5.71	"8.76, 2.86"	"0.104, 0.555"	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1333006	CN(CC(=O)NC1=CC=C(Cl)C(=C1)S(=O)(=O)N1CCOCC1)C(=O)\C=C\C1=CC=CS1	84.1		> 10.0	> 10.0			> 10.0	> 10.0	0.594	0.62	> 10.0	> 10.0		
 MMV1333221	CCCNS(=O)(=O)C1=CC=CC(=C1)C(=O)N1CCN(CC1)C1=CC=CC(OC)=C1	88.1		> 10.0	> 10.0			9.9	> 10.0	3.58	0.848	> 10.0	> 10.0		
 MMV1333249	CCCCCCN1C(SCC(=O)NC2=C(C(=O)OCC)C(C)=C(S2)C(=O)N(CC)CC)=NC2=CC=CC=C12	84.1		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1333264	OC(C1CCN(CC1)C(=O)CCC(=O)C1=CC=CS1)(C1=CC=CC=C1)C1=CC=CC=C1	96.0		2.16	3.65	4.19	0.279	> 10.0	> 10.0	0.15	0.513	> 10.0	> 10.0		
 MMV1333280	CCOC(=O)C1=C(NC(=O)COC(=O)C2=C(C)ON=C2C)SC(=C1C)C1=CC=CC=C1	88.1		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1333287	COC1=CC=C(NC(=O)C2=CC=CC(=C2)S(=O)(=O)N(CC2=CC=CC=C2)C2=CC=CC=C2Cl)C=N1	84.1		9.79	> 10.0	11	0.0841	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1333306	COC1=CC=C(C=C1)C1(NC(=O)N(CC(=O)C2=C(C)N(C3CC3)C(C)=C2)C1=O)C1=CC=C(OC)C=C1	84.1		8.48	> 10.0	10.1	0.388	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1333319	O=C(CN1CCN(CC1)S(=O)(=O)C1=CC=CS1)NC1=CC=CC=C1C(=O)C1=CC=CC=C1	92.0		5.33	> 10.0	1.98	0.361	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1333590	COC1=CC(NC(=O)CSC2=NC(N)=C3C4=C(CCCC4)SC3=N2)=C(C)C=C1[N+]([O-])=O	92.0		3.53	> 10.0	1.41	0.23	5.46	> 10.0	1.08	0.986	> 10.0	> 10.0		
 MMV1333631	CC(C)(C)C1=CC=C(OCC(=O)NNC(=O)CC2=CSC(=N2)C2=CC=CC=C2)C=C1	92.0		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1333632	CC1=C(COC2=CC=CC=C2C(=O)N(CC=C)C2=NC3=C(CCCC3)S2)C(C)=NO1	96.0		> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1333634	COC(=O)C1=C(COC(=O)\C=C\C2=CC=C(OC(F)F)C=C2)C(C(=O)OC)=C(N)S1	96.0		> 10.0	> 10.0			> 10.0	> 10.0			9.72	> 10.0	15.7	0.211
